name,address,categories,category_ids,city,description,distance,foursquare_id,hours,instagram_url,is_nightlife,last_fsq_refresh,lat,lng,place_id,popularity,price_level,rating,social_media,state,summary,tips,types,website
Homage Brewing,"1219 N Main St, Los Angeles, CA 90012, USA","Bar, Brewery, Restaurant","13065, 13003, 13029",,,,60ce49e3c0ee5e0ea9f168dd,"{'tuesday': '3:00\u2009–\u200910:00\u202fPM', 'monday': '3:00\u2009–\u200910:00\u202fPM', 'sunday': '12:00\u2009–\u200910:00\u202fPM', 'friday': '12:00\u202fPM\u2009–\u20092:00\u202fAM', 'saturday': '12:00\u202fPM\u2009–\u20092:00\u202fAM', 'wednesday': '3:00\u2009–\u200910:00\u202fPM', 'thursday': '3:00\u2009–\u200910:00\u202fPM'}",https://www.instagram.com/homagebrewing,False,,34.0646724,-118.2324719,ChIJQzatpaPHwoARUfPRURrOsJ4,,,,{},,"A Bar, Brewery, and more in downtown LA.",This is a 6 pack. I bought it because it's good beer. The staff argued with me that it's a 6 pack. | The beer is very good but the service is outrageously bad.,"night_club, bar, restaurant, food, point_of_interest, establishment",
Apt 200,"7746 Santa Monica Blvd, West Hollywood, CA 90046, USA","Cocktail Bar, Lounge, Restaurant","13016, 13009, 13065",,,,5676553a498e2f30aa99ac1d,"{'tuesday': '10:00\u202fPM\u2009–\u20092:00\u202fAM', 'monday': 'Closed', 'sunday': '10:00\u202fPM\u2009–\u20092:00\u202fAM', 'friday': '10:00\u202fPM\u2009–\u20092:00\u202fAM', 'saturday': '10:00\u202fPM\u2009–\u20092:00\u202fAM', 'wednesday': 'Closed', 'thursday': '10:00\u202fPM\u2009–\u20092:00\u202fAM'}",,False,,34.09063620000001,-118.3581795,ChIJWcYU50O_woARMNRp6SYPbnE,,,,{},,"A Cocktail Bar, Lounge, and more in downtown LA.","Deco and music on point. All your azns in one spot. $2 parking with validation in attached garage, which is the best thing ever. Worst thing? Only 1 girls bathroom...","night_club, point_of_interest, establishment",
The Friend Silverlake,"2611 Hyperion Ave, Los Angeles, CA 90027, USA",Massage Clinic,11070,,,,588ebfbe5289302f30003eb1,,,False,,34.1059742,-118.2728133,ChIJHXjSzcvAwoARd3hIrehmvvQ,,2,,{},,A Massage Clinic in downtown LA.,"Midday wind me down: $35 for a 25 min massage, plus the option to go deep tissue for an extra $10. I wish they had locations in NYC. | Just wonderful the whole experience!","bar, point_of_interest, establishment",
Jumbo's Clown Room,"5153 Hollywood Blvd, Los Angeles, CA 90027, USA","Cocktail Bar, Lounge, Restaurant","13016, 13009, 13065",,,,3fd66200f964a5208aee1ee3,"{'tuesday': 'Closed', 'monday': 'Closed', 'sunday': '8:00\u202fPM\u2009–\u20092:00\u202fAM', 'friday': '8:00\u202fPM\u2009–\u20092:00\u202fAM', 'saturday': '8:00\u202fPM\u2009–\u20092:00\u202fAM', 'wednesday': '8:00\u202fPM\u2009–\u20092:00\u202fAM', 'thursday': '8:00\u202fPM\u2009–\u20092:00\u202fAM'}",https://www.instagram.com/jumbosclownroomofficial/,False,,34.1020277,-118.3024192,ChIJ1UQFAFe_woAR7Y2W2azde40,,2,,{},,"A Cocktail Bar, Lounge, and more in downtown LA.","Highlight of LA! This place has so much atmosphere, even on a Tuesday! The girls are smokin', super talented, the drinks are cheap and the music is good! Be sure to bring bills to tip the dancers! | One of the nicest strip clubs ever. Nice girls, nice barkeepers and a nice crowd! Almost didn't change in the last 20 years except for parking that gets more difficult every year. | Born in 1970, chill out at one of Hollywood’s hottest exotic dance bars. Who doesn’t like some good ol’ pole dancing to 80s hits and rock music?","night_club, bar, point_of_interest, establishment",
Pangea Sound parties,"4067 W Pico Blvd, Los Angeles, CA 90019, USA","Hotel Bar, Cocktail Bar","13009, 13013",,,,4c07d9673cbed13a700e0cc0,"{'tuesday': 'Closed', 'monday': 'Closed', 'sunday': 'Closed', 'friday': '8:00\u202fPM\u2009–\u20092:00\u202fAM', 'saturday': '8:00\u202fPM\u2009–\u20092:00\u202fAM', 'wednesday': 'Closed', 'thursday': '8:00\u202fPM\u2009–\u20092:00\u202fAM'}",https://www.instagram.com/catchonela/,False,,34.0478213,-118.3241408,ChIJ2ZYL9V-4woARSIRHV49_n70,,2,,{},,A Hotel Bar and Cocktail Bar in downtown LA.,,"night_club, bar, point_of_interest, establishment",
Lol Wine Bar,"5140 W Sunset Blvd, Los Angeles, CA 90027, USA","Coffee Shop, Restaurant","13065, 13035",,,,5856f788158b966de017c324,"{'tuesday': '5:00\u2009–\u200911:00\u202fPM', 'monday': 'Closed', 'sunday': '5:00\u2009–\u200911:00\u202fPM', 'friday': '5:00\u202fPM\u2009–\u200912:00\u202fAM', 'saturday': '5:00\u202fPM\u2009–\u200912:00\u202fAM', 'wednesday': '5:00\u2009–\u200911:00\u202fPM', 'thursday': '5:00\u2009–\u200911:00\u202fPM'}",https://www.instagram.com/lolowinebar/,False,,34.0979222,-118.3020145,ChIJk0aWgYC_woAR-ZMeTxnBc8Q,,2,,{},,A Coffee Shop and Restaurant in downtown LA.,"I like the coffee in this shop. They served the most delicious coffees in the town. One thing that  I loved in this coffee shop. It was so elegant and cozy. The barista was so polite and approachable. | Loved everything about Tilt while working remote. The espresso was superb, my crossiant buttery, the space full of sunshine/plants/seating, & the owners were super friendly. There's even strong wifi! | Their cortados are delicious!","restaurant, liquor_store, bar, food, point_of_interest, store, establishment",
El Chucho,"12821 Venice Blvd., Los Angeles, CA 90066, USA",Monument,16026,,,,49e7a26bf964a520ef641fe3,"{'tuesday': '6:00\u202fPM\u2009–\u200912:00\u202fAM', 'monday': 'Closed', 'sunday': '6:00\u202fPM\u2009–\u200912:00\u202fAM', 'friday': '6:00\u202fPM\u2009–\u20092:00\u202fAM', 'saturday': '6:00\u202fPM\u2009–\u20092:00\u202fAM', 'wednesday': '6:00\u202fPM\u2009–\u200912:00\u202fAM', 'thursday': '6:00\u202fPM\u2009–\u20092:00\u202fAM'}",,False,,34.0001685,-118.4412385,ChIJjyyKoPm7woARQmKXDc_jJhA,,,,{},,A Monument in downtown LA.,"Although there was great controversy over the founding of this place, it is a great place to learn some Mexican-American heritage that started in Los Angeles | You'd get a feeling that you're in a place you are not. I love going alone here. There are many families and stalls and food stores. Really fun. | ""America Tropical"" was painted on the Italian Hall at El Pueblo in 1932, but whitewashed shortly after. The mural recently finished up a long-term conservation.","bar, point_of_interest, establishment",
The Ruby Fruit,"3510 W Sunset Blvd, Los Angeles, CA 90026, USA",Wine Bar,13025,,,,63eee7df9b981363cf957832,"{'tuesday': 'Closed', 'monday': 'Closed', 'sunday': '3:00\u2009–\u200910:00\u202fPM', 'friday': '3:00\u2009–\u200911:00\u202fPM', 'saturday': '3:00\u2009–\u200911:00\u202fPM', 'wednesday': '3:00\u2009–\u200910:00\u202fPM', 'thursday': '3:00\u2009–\u200910:00\u202fPM'}",,False,,34.0888679,-118.2769866,ChIJf7uGlCDHwoAR6zTb332HhWs,,2,,{},,A Wine Bar in downtown LA.,,"bar, restaurant, food, point_of_interest, establishment",
The Varnish,"118 E 6th St, Los Angeles, CA 90014, USA","Arts and Entertainment, Cocktail Bar","10000, 13009",,,,3cb41ec0010f4509a42981a9,,https://www.instagram.com/theoriginalvarnishbar,False,,34.0447898,-118.2495086,ChIJgZ1snzXGwoARDUixX2bXiIg,,2,,{},,A Arts and Entertainment and Cocktail Bar in downtown LA.,,"bar, point_of_interest, establishment",
AKBar,"4356 W Sunset Blvd, Los Angeles, CA 90029, USA","Gay Bar, Night Club","10032, 13011",,,,3fd66200f964a520e3ee1ee3,"{'tuesday': '4:00\u202fPM\u2009–\u20092:00\u202fAM', 'monday': '4:00\u202fPM\u2009–\u20092:00\u202fAM', 'sunday': '4:00\u202fPM\u2009–\u20092:00\u202fAM', 'friday': '4:00\u202fPM\u2009–\u20092:00\u202fAM', 'saturday': '4:00\u202fPM\u2009–\u20092:00\u202fAM', 'wednesday': '4:00\u202fPM\u2009–\u20092:00\u202fAM', 'thursday': '4:00\u202fPM\u2009–\u20092:00\u202fAM'}",,False,,34.0956782,-118.2842667,ChIJOwpNUEzHwoARAPHUIkcyjdM,,1,,{},,A Gay Bar and Night Club in downtown LA.,"Small place but you'll find all the hip people here. There's are two small bar areas with cheap drinks, and then a square dance floor. Check the website for the theme of the night. | Akbar is intimate, casual, friendly, no-frills, and cheap. It's like a gay Cheers—everybody knows your name, from the bartender to the door man to the DJ. | AW: gay bar, dive bar, neighborhood bar, dance bar, and one of SL's most fun bars. Epic DJ nights but also a very chill place to drink cheap, strong drinks on a Sunday night.","night_club, bar, point_of_interest, establishment",
